course_id,nucleo,nivel,titulo,duracion_min
MAT_0000,Matematica,0,Numeros naturales - Modulo 1,25
MAT_0001,Matematica,1,Fracciones - Modulo 1,30
MAT_0002,Matematica,2,Decimales - Modulo 1,20
MAT_0003,Matematica,3,Proporcionalidad - Modulo 1,30
MAT_0004,Matematica,4,Ecuaciones lineales - Modulo 1,30
MAT_0005,Matematica,5,Ecuaciones cuadraticas - Modulo 1,15
MAT_0006,Matematica,0,Funciones - Modulo 1,20
MAT_0007,Matematica,1,Geometria plana - Modulo 1,20
MAT_0008,Matematica,2,Geometria del espacio - Modulo 1,20
MAT_0009,Matematica,3,Trigonometria - Modulo 1,30
MAT_0010,Matematica,4,Estadistica descriptiva - Modulo 1,25
MAT_0011,Matematica,5,Probabilidad - Modulo 1,20
MAT_0012,Matematica,0,Combinatoria - Modulo 1,30
MAT_0013,Matematica,1,Limites - Modulo 1,15
MAT_0014,Matematica,2,Derivadas - Modulo 1,25
MAT_0015,Matematica,3,Integrales - Modulo 1,15
MAT_0016,Matematica,4,Matrices - Modulo 1,25
MAT_0017,Matematica,5,Vectores - Modulo 1,30
MAT_0018,Matematica,0,Logica matematica - Modulo 1,10
MAT_0019,Matematica,1,Sucesiones y series - Modulo 1,25
MAT_0020,Matematica,2,Numeros naturales - Modulo 2,15
MAT_0021,Matematica,3,Fracciones - Modulo 2,30
MAT_0022,Matematica,4,Decimales - Modulo 2,25
MAT_0023,Matematica,5,Proporcionalidad - Modulo 2,10
MAT_0024,Matematica,0,Ecuaciones lineales - Modulo 2,10
MAT_0025,Matematica,1,Ecuaciones cuadraticas - Modulo 2,20
MAT_0026,Matematica,2,Funciones - Modulo 2,20
MAT_0027,Matematica,3,Geometria plana - Modulo 2,15
MAT_0028,Matematica,4,Geometria del espacio - Modulo 2,25
MAT_0029,Matematica,5,Trigonometria - Modulo 2,25
MAT_0030,Matematica,0,Estadistica descriptiva - Modulo 2,20
MAT_0031,Matematica,1,Probabilidad - Modulo 2,25
MAT_0032,Matematica,2,Combinatoria - Modulo 2,25
MAT_0033,Matematica,3,Limites - Modulo 2,10
MAT_0034,Matematica,4,Derivadas - Modulo 2,20
MAT_0035,Matematica,5,Integrales - Modulo 2,30
MAT_0036,Matematica,0,Matrices - Modulo 2,20
MAT_0037,Matematica,1,Vectores - Modulo 2,30
MAT_0038,Matematica,2,Logica matematica - Modulo 2,10
MAT_0039,Matematica,3,Sucesiones y series - Modulo 2,15
MAT_0040,Matematica,4,Numeros naturales - Modulo 3,25
MAT_0041,Matematica,5,Fracciones - Modulo 3,10
