prerequisito_id,course_id,nucleo
MAT_0006,MAT_0001,Matematica
MAT_0000,MAT_0001,Matematica
MAT_0024,MAT_0007,Matematica
MAT_0018,MAT_0007,Matematica
MAT_0012,MAT_0013,Matematica
MAT_0006,MAT_0019,Matematica
MAT_0048,MAT_0019,Matematica
MAT_0054,MAT_0025,Matematica
MAT_0000,MAT_0031,Matematica
MAT_0006,MAT_0037,Matematica
MAT_0018,MAT_0043,Matematica
MAT_0054,MAT_0049,Matematica
MAT_0000,MAT_0049,Matematica
MAT_0018,MAT_0055,Matematica
MAT_0048,MAT_0055,Matematica
MAT_0019,MAT_0002,Matematica
MAT_0055,MAT_0008,Matematica
MAT_0001,MAT_0014,Matematica
MAT_0037,MAT_0020,Matematica
MAT_0025,MAT_0026,Matematica
MAT_0019,MAT_0032,Matematica
MAT_0007,MAT_0038,Matematica
MAT_0037,MAT_0044,Matematica
MAT_0031,MAT_0050,Matematica
MAT_0055,MAT_0056,Matematica
MAT_0002,MAT_0003,Matematica
MAT_0044,MAT_0009,Matematica
MAT_0050,MAT_0009,Matematica
MAT_0038,MAT_0015,Matematica
MAT_0050,MAT_0021,Matematica
MAT_0056,MAT_0027,Matematica
MAT_0056,MAT_0033,Matematica
MAT_0008,MAT_0039,Matematica
MAT_0020,MAT_0045,Matematica
MAT_0008,MAT_0051,Matematica
MAT_0008,MAT_0057,Matematica
MAT_0027,MAT_0004,Matematica
MAT_0033,MAT_0010,Matematica
MAT_0033,MAT_0016,Matematica
MAT_0021,MAT_0022,Matematica
MAT_0027,MAT_0028,Matematica
MAT_0009,MAT_0028,Matematica
MAT_0015,MAT_0034,Matematica
MAT_0051,MAT_0034,Matematica
MAT_0021,MAT_0040,Matematica
MAT_0015,MAT_0040,Matematica
MAT_0039,MAT_0046,Matematica
MAT_0051,MAT_0052,Matematica
MAT_0033,MAT_0058,Matematica
MAT_0022,MAT_0005,Matematica
MAT_0034,MAT_0011,Matematica
MAT_0028,MAT_0017,Matematica
MAT_0022,MAT_0023,Matematica
MAT_0034,MAT_0029,Matematica
MAT_0022,MAT_0029,Matematica
MAT_0046,MAT_0035,Matematica
MAT_0040,MAT_0035,Matematica
MAT_0046,MAT_0041,Matematica
MAT_0016,MAT_0041,Matematica
MAT_0016,MAT_0047,Matematica
MAT_0052,MAT_0053,Matematica
MAT_0028,MAT_0059,Matematica
MAT_0040,MAT_0059,Matematica
LEC_0096,LEC_0061,Lectura
LEC_0090,LEC_0061,Lectura
LEC_0072,LEC_0067,Lectura
LEC_0102,LEC_0073,Lectura
LEC_0066,LEC_0073,Lectura
LEC_0066,LEC_0079,Lectura
LEC_0072,LEC_0085,Lectura
LEC_0096,LEC_0091,Lectura
LEC_0066,LEC_0091,Lectura
LEC_0096,LEC_0097,Lectura
LEC_0102,LEC_0103,Lectura
LEC_0108,LEC_0103,Lectura
LEC_0108,LEC_0109,Lectura
LEC_0066,LEC_0115,Lectura
LEC_0109,LEC_0062,Lectura
LEC_0085,LEC_0062,Lectura
LEC_0091,LEC_0068,Lectura
LEC_0067,LEC_0068,Lectura
LEC_0097,LEC_0074,Lectura
LEC_0103,LEC_0080,Lectura
LEC_0085,LEC_0086,Lectura
